id,employee_id,department,performance_score,years_with_company,salary
73,73,Services,72.18,10,11376.71
74,74,Training,11.53,10,10240.92
75,75,Support,22.64,8,12847.31
76,76,Human Resources,61.95,7,15479.87
77,77,Training,59.32,7,9416.49
78,78,Accounting,10.94,4,12474.42
79,79,Marketing,16.05,6,18838.02
80,80,Sales,91.57,2,11271.53
81,81,Human Resources,82.63,3,10458.99
82,82,Accounting,25.12,4,16235.29
83,83,Support,30.97,9,10554.26
84,84,Marketing,63.47,6,18497.22
85,85,Training,43.57,7,7976.65
86,86,Support,27.17,1,12963.9
87,87,Business Development,33.16,3,18048.16
88,88,Marketing,44.02,6,10661.22
89,89,Accounting,18.35,7,17147.05
90,90,Human Resources,6.09,3,19893.8
91,91,Legal,91.81,7,8012.6
92,92,Product Management,72.59,1,17905.34
93,93,Business Development,54.16,9,11082.27
94,94,Legal,36.29,9,10770.21
95,95,Research and Development,85.95,4,7423.03
96,96,Services,38.17,10,9645.45
97,97,Training,13.64,1,7807.45
98,98,Engineering,6.66,1,19763.26
99,99,Research and Development,49.63,6,18204.66
100,100,Legal,66.55,8,13614.33
101,101,Human Resources,70.96,4,7402.31
102,102,Support,11.66,10,9163.54
103,103,Human Resources,83.16,1,6845.85
104,104,Engineering,71.63,5,14793.71
105,105,Research and Development,76.37,4,8858.39
106,106,Services,87.07,6,9143.53
107,107,Marketing,37.18,10,5017.76
108,108,Support,52.13,7,5195.52
109,109,Product Management,63.41,2,11637.9
110,110,Support,73.86,4,13367.11
111,111,Marketing,27.74,5,16419.54
112,112,Training,12.99,1,14800.69
113,113,Product Management,37.63,2,11190.42
114,114,Marketing,86.66,10,8643.54
115,115,Engineering,85.8,2,10220.81
116,116,Accounting,43.96,2,6045.25
117,117,Engineering,89.02,5,18099.66
118,118,Engineering,39.34,4,10525.07
119,119,Support,79.13,3,6256.57
120,120,Legal,87.03,2,8282.18
121,121,Training,16.04,9,13090.3
122,122,Legal,61.77,3,5576.6
123,123,Sales,89.07,1,6964.97
124,124,Human Resources,5.59,5,19290.92
125,125,Accounting,25.41,10,13881.76
126,126,Sales,41.78,5,7948.22
127,127,Business Development,49.46,10,9131.84
128,128,Product Management,42.3,7,10506.54
129,129,Legal,94.94,3,11790.47
130,130,Training,61.99,3,18652.39
131,131,Training,41.0,8,12774.64
132,132,Support,32.98,5,19152.44
133,133,Accounting,67.69,5,15734.99
134,134,Legal,79.46,7,5501.91
135,135,Accounting,95.38,3,7341.81
136,136,Research and Development,32.69,4,14870.74
137,137,Legal,27.4,5,7743.03
138,138,Training,11.13,2,9457.93
139,139,Sales,52.96,4,9720.82
140,140,Accounting,99.99,9,10474.02
141,141,Services,85.71,4,12925.37
142,142,Marketing,70.3,9,18290.09
143,143,Services,90.36,8,15127.57
144,144,Product Management,20.26,1,7363.6
145,145,Business Development,61.36,5,16685.4
146,146,Support,90.62,7,14441.05
147,147,Human Resources,51.88,6,13015.28
148,148,Accounting,37.54,8,7718.49
149,149,Services,29.94,5,9785.52
150,150,Support,61.58,7,8878.06
151,151,Human Resources,62.43,10,5889.11
152,152,Product Management,22.97,4,7958.88
153,153,Accounting,44.8,3,9020.9
154,154,Research and Development,28.06,2,14100.34
155,155,Sales,42.86,5,6135.35
156,156,Marketing,78.16,9,15413.74
157,157,Services,8.02,10,18566.28
158,158,Marketing,43.59,2,14617.3
159,159,Training,70.69,9,18143.27
160,160,Services,47.79,10,17267.88
161,161,Engineering,92.69,8,7945.52
162,162,Accounting,63.91,7,12482.67
163,163,Training,60.34,1,13917.77
164,164,Product Management,36.07,2,19407.23
165,165,Research and Development,36.21,1,19420.75
166,166,Support,14.06,6,6970.39
167,167,Engineering,56.03,4,12511.37
168,168,Sales,26.85,7,17251.13
169,169,Product Management,98.18,9,9877.78
170,170,Business Development,85.01,3,6182.09
171,171,Engineering,92.02,6,18360.67
172,172,Business Development,73.85,9,19439.76
173,173,Marketing,78.13,5,19100.83
174,174,Services,72.91,4,15588.08
175,175,Accounting,20.82,7,11661.04
176,176,Services,71.03,2,19403.22
177,177,Product Management,97.2,2,10147.6
178,178,Legal,46.6,7,6360.61
179,179,Support,45.18,5,9955.66
180,180,Human Resources,64.67,4,7244.59
181,181,Accounting,72.83,9,9313.35
182,182,Product Management,96.35,2,17381.9
183,183,Sales,93.85,4,5178.48
184,184,Marketing,83.54,4,15537.04
185,185,Accounting,94.06,4,16146.76
186,186,Marketing,24.17,1,14560.44
187,187,Human Resources,22.3,7,8560.3
188,188,Services,16.07,3,11381.17
189,189,Human Resources,69.41,1,19008.84
190,190,Human Resources,38.23,9,14358.15
191,191,Engineering,8.41,2,14804.18
192,192,Business Development,30.82,6,11433.03
193,193,Research and Development,24.08,3,13704.72
194,194,Marketing,79.09,6,17718.56
195,195,Sales,54.68,1,10231.28
196,196,Legal,76.5,9,5540.03
197,197,Legal,17.02,9,16458.38
198,198,Research and Development,69.0,1,18226.55
199,199,Accounting,63.33,7,19558.83
200,200,Product Management,77.63,1,19872.78
201,201,Legal,36.35,5,11529.58
202,202,Research and Development,57.03,1,8787.77
203,203,Services,37.72,10,19294.04
204,204,Accounting,33.43,4,17809.52
205,205,Support,19.58,10,8575.21
206,206,Research and Development,95.81,4,6645.67
207,207,Business Development,82.07,8,12280.73
208,208,Engineering,67.83,9,13040.6
209,209,Product Management,19.06,3,16947.94
210,210,Marketing,87.65,6,10733.75
211,211,Legal,51.77,2,18952.87
212,212,Engineering,66.31,4,8980.7
213,213,Product Management,19.3,2,18289.68
214,214,Accounting,33.06,6,18257.97
215,215,Legal,97.15,6,19289.08
216,216,Support,43.45,3,17072.75
217,217,Support,79.41,5,11092.25
218,218,Engineering,32.84,4,8046.03
219,219,Accounting,33.77,8,7894.19
220,220,Marketing,43.83,6,16059.97
221,221,Sales,7.15,10,18020.11
222,222,Support,6.07,7,5940.61
223,223,Marketing,32.39,1,19270.5
224,224,Research and Development,64.68,10,19462.9
225,225,Services,14.18,1,5064.49
226,226,Research and Development,1.3,9,13002.94
227,227,Engineering,88.68,8,8525.51
228,228,Legal,36.16,9,19576.07
229,229,Engineering,31.89,2,16764.55
230,230,Sales,86.18,1,18335.86
231,231,Human Resources,92.21,3,9669.89
232,232,Legal,12.73,4,17249.06
233,233,Product Management,69.88,8,5791.78
234,234,Engineering,67.97,8,19139.87
235,235,Research and Development,36.35,6,10994.99
236,236,Sales,13.55,5,6267.98
237,237,Training,27.94,6,6632.7
238,238,Legal,91.65,4,5551.73
239,239,Marketing,60.81,9,12321.81
240,240,Research and Development,32.32,9,16530.58
241,241,Accounting,69.2,1,7520.23
242,242,Product Management,94.36,10,15722.85
243,243,Accounting,72.31,10,9403.03
244,244,Services,91.13,4,18878.53
245,245,Research and Development,41.45,2,7342.56
246,246,Training,45.31,6,16534.8
247,247,Business Development,13.18,2,7766.96
248,248,Engineering,46.76,7,19834.4
249,249,Marketing,11.7,6,13671.51
250,250,Legal,70.78,3,14665.42
251,251,Legal,79.98,2,12484.37
252,252,Services,56.1,1,5145.46
253,253,Sales,33.49,7,7368.58
254,254,Human Resources,61.18,8,11291.71
255,255,Support,94.42,6,15643.3
256,256,Human Resources,91.75,10,5628.19
257,257,Product Management,89.13,3,18355.41
258,258,Product Management,82.86,1,12103.56
259,259,Business Development,35.21,7,10622.71
260,260,Training,50.0,4,17906.0
261,261,Services,49.19,9,17046.51
262,262,Engineering,13.99,7,10959.44
263,263,Product Management,74.41,7,8327.43
264,264,Sales,50.84,7,10046.65
265,265,Services,53.02,8,7529.4
266,266,Marketing,90.14,5,10497.09
267,267,Product Management,21.14,1,7859.0
268,268,Services,89.28,8,15793.42
269,269,Sales,20.53,7,7261.71
270,270,Human Resources,2.16,8,12112.34
271,271,Business Development,91.42,7,15065.67
272,272,Services,75.25,4,9466.43
273,273,Legal,10.48,5,11763.62
274,274,Accounting,4.73,4,7812.76
275,275,Training,4.52,2,6561.08
276,276,Product Management,39.24,7,19824.73
277,277,Sales,3.07,1,13906.73
278,278,Sales,78.09,6,11976.54
279,279,Accounting,17.72,3,19284.37
280,280,Training,92.51,8,16656.53
281,281,Product Management,25.26,3,18787.33
282,282,Engineering,43.05,9,16102.73
283,283,Marketing,23.33,7,13871.96
284,284,Engineering,60.35,7,7087.13
285,285,Training,32.22,2,17987.54
286,286,Legal,4.67,6,12482.76
287,287,Accounting,26.33,3,12482.02
288,288,Legal,46.29,3,11973.81
289,289,Business Development,81.47,8,6540.83
290,290,Training,71.43,6,15732.72
291,291,Research and Development,37.56,1,15059.26
292,292,Support,84.12,5,5955.19
293,293,Sales,36.86,10,12884.73
294,294,Legal,20.03,7,16613.53
295,295,Human Resources,32.56,10,8238.99
296,296,Product Management,73.22,4,15725.57
297,297,Legal,47.18,9,6286.18
298,298,Business Development,81.5,10,15973.77
299,299,Support,81.4,10,17650.09
300,300,Business Development,29.3,7,17914.02
301,301,Human Resources,89.16,10,5805.09
302,302,Training,24.99,6,13473.21
303,303,Marketing,72.84,2,7021.34
304,304,Marketing,91.85,9,19950.86
305,305,Services,94.51,9,19113.23
306,306,Training,8.22,1,13087.0
307,307,Marketing,94.53,4,19203.41
308,308,Product Management,38.95,5,6424.94
309,309,Accounting,41.0,1,6581.81
310,310,Support,33.85,6,6001.65
311,311,Business Development,30.11,5,6512.3
312,312,Services,50.42,9,12718.65
313,313,Research and Development,70.85,6,8883.2
314,314,Legal,54.32,2,13764.92
315,315,Accounting,94.97,2,16988.02
316,316,Sales,96.76,7,9636.23
317,317,Services,96.19,9,16951.74
318,318,Sales,23.52,4,8414.27
319,319,Services,73.36,7,17971.16
320,320,Training,37.58,7,6676.52
321,321,Marketing,30.93,10,14106.3
322,322,Marketing,64.33,9,15672.16
323,323,Human Resources,12.0,8,19155.91
324,324,Support,30.03,3,6818.23
325,325,Marketing,62.15,9,6976.1
326,326,Legal,9.26,1,10785.07
327,327,Research and Development,76.72,6,6663.83
328,328,Engineering,81.29,1,10192.0
329,329,Marketing,36.32,3,19731.98
330,330,Marketing,79.41,7,19122.93
331,331,Marketing,84.71,5,11958.63
332,332,Business Development,22.45,9,17324.62
333,333,Support,94.23,8,7084.45
334,334,Research and Development,50.09,10,6641.18
335,335,Legal,82.18,9,5190.09
336,336,Marketing,49.94,10,10457.1
337,337,Accounting,91.57,8,6112.0
338,338,Human Resources,82.95,9,17899.79
339,339,Engineering,3.89,5,15282.25
340,340,Training,6.8,2,17786.41
341,341,Product Management,5.87,3,15822.87
342,342,Business Development,6.0,6,5794.38
343,343,Business Development,26.5,8,15253.71
344,344,Business Development,43.22,7,17658.61
345,345,Product Management,8.93,6,9157.34
346,346,Support,97.76,3,6024.28
347,347,Support,43.66,8,9034.12
348,348,Training,67.86,1,19560.53
349,349,Product Management,35.37,5,6744.74
350,350,Support,50.73,10,12601.33
351,351,Accounting,9.38,9,8299.19
352,352,Human Resources,74.15,10,8649.62
353,353,Accounting,71.3,6,9442.95
354,354,Research and Development,5.58,3,5363.38
355,355,Support,95.36,4,5729.32
356,356,Engineering,41.19,7,6890.28
357,357,Training,23.22,3,13241.18
358,358,Business Development,69.54,7,9888.94
359,359,Services,4.07,3,11916.94
360,360,Accounting,55.77,1,10958.89
361,361,Business Development,26.51,6,16839.53
362,362,Training,69.53,3,13383.74
363,363,Legal,71.49,6,19548.18
364,364,Research and Development,32.64,7,11925.06
365,365,Sales,87.34,5,15258.37
366,366,Legal,33.96,10,6144.83
367,367,Research and Development,21.39,4,17966.29
368,368,Product Management,58.19,7,5746.88
369,369,Human Resources,34.34,5,15243.55
370,370,Research and Development,97.73,7,10461.51
371,371,Human Resources,40.33,9,18594.74
372,372,Legal,63.62,4,10111.47
373,373,Engineering,98.53,10,10205.89
374,374,Human Resources,80.51,7,6509.74
375,375,Legal,74.95,6,5825.02
376,376,Product Management,10.13,8,6729.8
377,377,Product Management,97.57,3,17176.76
378,378,Engineering,27.95,8,10975.06
379,379,Marketing,57.14,4,10340.93
380,380,Sales,86.7,4,18139.99
381,381,Training,80.02,10,12158.58
382,382,Marketing,60.68,8,5095.79
383,383,Human Resources,38.07,5,5092.36
384,384,Business Development,37.58,1,18916.07
385,385,Research and Development,4.33,9,19318.22
386,386,Human Resources,75.76,1,13692.15
387,387,Support,92.67,5,14459.22
388,388,Training,82.12,9,5472.95
389,389,Marketing,4.02,4,17334.68
390,390,Training,58.05,3,14568.59
391,391,Product Management,85.3,7,8068.62
392,392,Sales,44.0,3,9830.38
393,393,Accounting,44.28,2,13628.63
394,394,Engineering,89.93,2,9589.24
395,395,Support,64.1,6,7454.86
396,396,Accounting,89.6,1,15506.33
397,397,Services,75.15,4,17134.26
398,398,Legal,49.99,5,16073.38
399,399,Training,17.38,10,7492.68
400,400,Engineering,82.51,2,17760.5
401,401,Product Management,95.6,6,12030.3
402,402,Human Resources,31.22,10,11826.69
403,403,Research and Development,49.31,5,10815.19
404,404,Services,50.55,6,19348.93
405,405,Business Development,54.31,4,13522.33
406,406,Legal,68.02,3,19219.4
407,407,Business Development,7.75,8,10543.06
408,408,Business Development,72.12,1,13720.69
409,409,Support,49.75,9,7194.15
410,410,Engineering,55.21,2,12747.6
411,411,Research and Development,2.46,3,7549.17
412,412,Accounting,7.92,4,10909.89
413,413,Training,53.2,4,12253.16
414,414,Sales,21.65,8,14186.23
415,415,Engineering,51.59,2,15928.94
416,416,Product Management,70.99,4,13263.95
417,417,Marketing,45.69,10,18743.92
418,418,Research and Development,84.87,10,7847.11
419,419,Human Resources,27.82,5,9683.98
420,420,Business Development,18.3,3,8978.24
421,421,Training,10.12,5,14710.27
422,422,Training,9.99,4,15096.16
423,423,Human Resources,75.89,9,16608.96
424,424,Services,86.09,7,7408.34
425,425,Product Management,63.08,1,12429.69
426,426,Accounting,66.58,3,13501.6
427,427,Marketing,41.12,4,10640.53
428,428,Accounting,81.74,7,6211.43
429,429,Accounting,72.62,7,7531.77
430,430,Marketing,5.31,10,15301.54
431,431,Engineering,81.38,2,7786.0
432,432,Accounting,67.37,3,16999.29
433,433,Legal,30.62,6,17510.0
434,434,Engineering,89.72,9,12985.23
435,435,Business Development,59.43,5,11796.19
436,436,Legal,92.41,3,12419.18
437,437,Services,10.03,1,6079.8
438,438,Support,44.03,7,16038.91
439,439,Training,46.98,5,19504.06
440,440,Services,45.75,3,19967.48
441,441,Engineering,4.14,5,19690.34
442,442,Support,21.61,3,17790.55
443,443,Services,1.54,5,8380.31
444,444,Human Resources,6.64,5,10841.3
445,445,Accounting,40.57,2,6762.58
446,446,Marketing,25.56,6,15986.74
447,447,Support,50.77,2,13756.21
448,448,Sales,5.45,3,17647.64
449,449,Legal,94.97,4,6210.19
450,450,Accounting,54.49,5,12096.27
451,451,Engineering,64.6,10,10137.09
452,452,Training,96.53,2,15263.6
453,453,Human Resources,25.77,9,5080.07
454,454,Accounting,26.64,10,6206.27
455,455,Product Management,34.92,8,19914.9
456,456,Training,19.04,9,8991.06
457,457,Services,82.86,3,17553.09
458,458,Engineering,60.85,7,12122.26
459,459,Sales,67.59,9,11324.38
460,460,Legal,31.41,10,15029.8
461,461,Training,37.45,4,5213.26
462,462,Business Development,24.86,6,8143.42
463,463,Training,29.38,6,7089.74
464,464,Legal,35.23,1,16308.74
465,465,Marketing,69.21,5,7757.78
466,466,Engineering,96.14,3,5034.07
467,467,Human Resources,37.39,7,17335.21
468,468,Training,38.62,5,6767.51
469,469,Legal,2.56,9,15059.42
470,470,Product Management,29.37,3,7680.43
471,471,Product Management,66.2,9,19261.5
472,472,Support,57.71,8,14908.55
473,473,Human Resources,72.03,7,10557.61
474,474,Support,63.63,2,5811.53
475,475,Engineering,59.0,8,7900.59
476,476,Research and Development,17.74,10,8994.67
477,477,Services,73.47,2,11703.82
478,478,Product Management,44.14,1,16115.33
479,479,Engineering,46.42,10,14222.81
480,480,Accounting,96.67,7,15958.98
481,481,Services,93.77,2,16028.59
482,482,Research and Development,19.19,7,12921.77
483,483,Business Development,9.24,6,14662.36
484,484,Engineering,25.65,4,5304.39
485,485,Business Development,1.66,1,11933.3
486,486,Product Management,86.01,2,7239.37
487,487,Business Development,94.52,7,7657.13
488,488,Business Development,29.2,7,19494.32
489,489,Marketing,84.15,9,18692.41
490,490,Engineering,46.67,8,8102.44
491,491,Research and Development,55.95,7,15647.08
492,492,Product Management,93.31,1,16518.87
493,493,Sales,82.13,7,11609.25
494,494,Legal,53.87,8,15646.86
495,495,Legal,92.29,5,9185.27
496,496,Services,89.32,1,18932.73
497,497,Sales,33.38,7,6648.58
498,498,Legal,23.05,10,13060.76
499,499,Business Development,42.71,1,16216.92
500,500,Business Development,18.9,6,16443.75
501,501,Research and Development,48.52,8,17237.02
502,502,Engineering,41.92,8,13128.06
503,503,Support,93.38,5,17102.8
504,504,Sales,3.45,3,11864.35
505,505,Services,87.07,6,5044.45
506,506,Support,33.55,6,6961.88
507,507,Training,83.26,9,14394.58
508,508,Product Management,87.28,8,19718.43
509,509,Business Development,37.65,10,9750.28
510,510,Marketing,62.18,6,8283.77
511,511,Human Resources,14.56,10,17391.2
512,512,Legal,24.87,3,10084.33
513,513,Business Development,51.87,1,15485.02
514,514,Business Development,70.81,9,6158.21
515,515,Engineering,13.6,10,14206.32
516,516,Research and Development,72.45,2,6201.95
517,517,Accounting,38.87,9,10975.2
518,518,Product Management,39.0,8,15983.55
519,519,Engineering,45.58,9,9247.63
520,520,Product Management,11.15,10,17652.36
521,521,Support,91.66,3,9641.44
522,522,Marketing,52.36,7,10736.97
523,523,Training,21.46,1,13176.79
524,524,Human Resources,45.05,5,10570.96
525,525,Sales,56.15,2,13867.56
526,526,Legal,62.18,10,16740.28
527,527,Product Management,52.97,10,12718.73
528,528,Sales,52.4,5,17767.73
529,529,Accounting,7.94,3,6941.59
530,530,Accounting,11.82,10,13895.66
531,531,Engineering,35.62,9,16949.76
532,532,Accounting,37.67,7,12621.15
533,533,Business Development,95.23,8,10838.77
534,534,Accounting,40.62,9,8871.9
535,535,Marketing,39.82,2,17393.68
536,536,Marketing,76.39,2,8097.2
537,537,Research and Development,47.52,10,8597.36
538,538,Support,23.81,9,11375.83
539,539,Research and Development,57.64,1,15261.83
540,540,Business Development,49.49,6,13035.06
541,541,Business Development,31.43,1,19439.39
542,542,Research and Development,14.39,8,15428.45
543,543,Accounting,78.0,2,8763.83
544,544,Sales,17.41,2,14478.81
545,545,Human Resources,84.87,2,8453.78
546,546,Accounting,10.39,8,5416.11
547,547,Engineering,91.83,7,8304.97
548,548,Product Management,28.55,9,11033.87
549,549,Accounting,25.59,9,10813.18
550,550,Services,91.33,2,19660.35
551,551,Legal,35.38,2,6627.02
552,552,Research and Development,22.17,4,19031.7
553,553,Sales,24.99,4,17985.31
554,554,Human Resources,79.42,9,16551.12
555,555,Human Resources,48.64,8,9044.97
556,556,Business Development,19.74,3,7998.13
557,557,Training,30.34,1,16731.51
558,558,Human Resources,72.11,4,15190.71
559,559,Human Resources,75.57,4,12048.61
560,560,Research and Development,21.61,3,12338.78
561,561,Product Management,26.25,5,15837.14
562,562,Training,49.47,7,8695.7
563,563,Engineering,67.29,2,16142.77
564,564,Marketing,94.89,7,16757.39
565,565,Business Development,20.2,9,5790.12
566,566,Legal,77.97,4,10976.51
567,567,Training,43.2,2,18848.58
568,568,Business Development,17.7,3,11171.8
569,569,Legal,75.03,9,14394.21
570,570,Training,31.2,9,5075.02
571,571,Accounting,99.42,1,10693.12
572,572,Support,86.65,7,7567.28
573,573,Sales,50.73,10,13473.44
574,574,Training,71.55,5,19022.66
575,575,Engineering,49.44,6,10018.09
576,576,Marketing,66.17,7,11790.91
577,577,Research and Development,83.13,1,18974.66
578,578,Business Development,54.32,1,16158.57
579,579,Support,19.11,6,6402.83
580,580,Business Development,65.2,9,9593.96
581,581,Engineering,35.04,3,11990.73
582,582,Engineering,73.66,8,9138.56
583,583,Product Management,17.16,4,12084.02
584,584,Research and Development,30.74,1,11958.3
585,585,Product Management,74.77,6,19890.37
586,586,Sales,93.62,1,6482.53
587,587,Product Management,29.06,9,7618.99
588,588,Product Management,57.01,6,17925.97
589,589,Services,38.38,1,18666.96
590,590,Training,66.71,8,18889.32
591,591,Human Resources,15.57,1,19960.75
592,592,Legal,22.54,10,14311.04
593,593,Support,71.65,2,12788.44
594,594,Accounting,78.18,3,7101.44
595,595,Human Resources,26.31,2,7946.36
596,596,Services,78.91,6,8923.88
597,597,Human Resources,82.55,6,11646.45
598,598,Product Management,29.48,7,15704.13
599,599,Human Resources,42.5,3,17331.44
600,600,Sales,8.6,4,18065.85
601,601,Product Management,53.05,1,16739.12
602,602,Product Management,47.98,1,19947.34
603,603,Human Resources,24.09,7,17779.96
604,604,Marketing,91.05,10,5272.98
605,605,Product Management,39.96,1,17232.44
606,606,Research and Development,35.85,8,14581.67
607,607,Engineering,26.1,7,13964.23
608,608,Support,33.52,8,15439.63
609,609,Marketing,1.92,4,19049.89
610,610,Accounting,8.98,6,17982.93
611,611,Support,66.01,9,6328.04
612,612,Accounting,40.78,6,19740.61
613,613,Accounting,77.98,9,5291.92
614,614,Marketing,83.69,8,14986.77
615,615,Human Resources,21.68,1,19524.04
616,616,Business Development,7.44,2,9159.03
617,617,Human Resources,23.0,5,10810.32
618,618,Marketing,34.26,8,7842.19
619,619,Support,61.42,7,16575.28
620,620,Accounting,14.37,6,13673.09
621,621,Product Management,26.66,3,9602.0
622,622,Services,68.65,8,18312.58
623,623,Marketing,64.95,2,17475.11
624,624,Engineering,26.33,3,13375.61
625,625,Business Development,62.45,6,10969.75
626,626,Accounting,11.15,10,17478.47
627,627,Accounting,22.41,10,15521.29
628,628,Engineering,74.31,7,5870.9
629,629,Marketing,57.9,8,12849.72
630,630,Marketing,69.15,6,6174.81
631,631,Engineering,57.3,1,8860.56
632,632,Engineering,58.87,10,18502.53
633,633,Training,91.56,10,6131.6
634,634,Human Resources,47.88,6,9043.04
635,635,Legal,72.09,6,7315.13
636,636,Human Resources,1.14,9,15318.31
637,637,Training,74.75,1,6832.23
638,638,Product Management,53.36,8,18957.72
639,639,Services,42.75,4,11857.45
640,640,Research and Development,36.58,10,9342.17
641,641,Sales,80.14,2,6671.65
642,642,Accounting,70.04,8,16496.58
643,643,Support,69.29,7,6886.36
644,644,Product Management,67.08,7,6658.87
645,645,Support,59.42,9,15021.56
646,646,Legal,34.56,6,18389.37
647,647,Marketing,29.26,9,13140.1
648,648,Services,32.28,9,11139.81
649,649,Product Management,78.11,7,8162.0
650,650,Engineering,37.09,3,11233.33
651,651,Product Management,47.31,7,11607.61
652,652,Product Management,51.07,8,9272.95
653,653,Accounting,48.53,2,10348.24
654,654,Product Management,5.86,1,11171.05
655,655,Support,31.82,3,12808.71
656,656,Human Resources,45.41,5,19836.54
657,657,Marketing,59.17,5,6834.64
658,658,Sales,65.39,1,17598.01
659,659,Sales,78.48,9,18727.61
660,660,Engineering,16.27,8,7803.38
661,661,Services,32.79,6,11785.21
662,662,Marketing,47.74,5,5308.73
663,663,Business Development,43.29,5,16148.34
664,664,Business Development,31.56,6,17261.82
665,665,Engineering,11.66,8,10719.56
666,666,Business Development,27.02,5,16651.37
667,667,Support,52.83,1,12241.95
668,668,Engineering,94.02,8,18055.92
669,669,Human Resources,54.08,6,5477.33
670,670,Legal,93.75,9,18571.02
671,671,Business Development,64.16,2,6179.97
672,672,Services,76.49,1,9799.31
673,673,Accounting,12.86,1,12057.45
674,674,Services,58.27,8,17418.6
675,675,Services,74.84,7,9832.09
676,676,Sales,47.9,2,13168.36
677,677,Support,47.11,1,18637.32
678,678,Business Development,49.88,1,7499.53
679,679,Research and Development,34.65,9,15391.04
680,680,Research and Development,80.5,4,8878.09
681,681,Business Development,57.16,8,12848.9
682,682,Training,84.12,10,16547.22
683,683,Sales,11.93,9,11060.51
684,684,Services,89.39,10,6259.61
685,685,Legal,96.13,10,15151.33
686,686,Sales,75.53,9,5064.7
687,687,Marketing,40.65,3,14772.8
688,688,Engineering,10.3,2,7714.93
689,689,Business Development,91.67,10,17541.72
690,690,Human Resources,49.6,3,13983.22
691,691,Training,55.57,6,18679.01
692,692,Training,83.72,8,14269.11
693,693,Human Resources,35.34,4,19595.88
694,694,Support,86.99,2,19357.63
695,695,Research and Development,24.73,1,7434.72
696,696,Business Development,10.41,7,17907.44
697,697,Sales,62.3,6,13375.01
698,698,Engineering,57.79,4,11233.54
699,699,Training,96.43,10,15061.49
700,700,Legal,21.04,10,16763.42
701,701,Training,46.77,8,19564.69
702,702,Sales,42.55,1,7856.09
703,703,Product Management,12.11,6,6176.05
704,704,Business Development,43.93,3,18990.57
705,705,Human Resources,47.67,4,12685.32
706,706,Support,26.08,2,17580.18
707,707,Research and Development,61.06,3,10152.87
708,708,Engineering,51.97,7,10839.01
709,709,Training,89.28,3,12346.06
710,710,Business Development,18.28,3,17303.13
711,711,Business Development,36.32,10,15292.88
712,712,Training,11.76,2,12358.99
713,713,Services,19.73,6,9313.91
714,714,Human Resources,62.4,2,8100.8
